event_id,nearest_facility_id,nearest_facility,nearest_facility_type,facility_distance_m,facility_confidence,spatial_zone,max_frp,observation_count,duration_hours,nearest_industrial_context_id,nearest_industrial_context,nearest_industrial_context_type,industrial_context_distance_m,inside_approx_industrial_context,approx_contexts,context_confidence,context_note
EVT-DAHEJ-00001,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,22446.3,verified,comparison_area,5.39,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,30309.5,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00002,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1526.3,verified,dahej_core,5.41,12,36.56666666666667,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1230.0,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00003,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,45680.8,verified,comparison_area,1.8,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,49929.6,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00004,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,42336.7,verified,comparison_area,0.84,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,47186.4,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00005,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,27515.6,verified,comparison_area,2.21,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,33558.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00006,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,5207.3,verified,dahej_core,2.77,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,8522.3,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00007,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,38206.0,verified,comparison_area,6.78,2,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,41601.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00008,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1531.6,verified,dahej_core,8.26,15,35.75,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1289.3,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00009,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,33455.8,verified,comparison_area,3.89,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,40522.6,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00010,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,45845.9,verified,comparison_area,0.28,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,49262.8,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00011,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,22784.1,verified,dahej_fringe,0.74,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,27120.2,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00012,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,5385.7,verified,dahej_core,5.34,3,0.85,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,13143.6,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00013,FAC-DAHEJ-010,SRF Limited — Dahej,chemical,5806.0,verified,dahej_core,4.85,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,7417.6,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00014,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,21320.6,verified,dahej_fringe,5.75,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,28235.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00015,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,31328.4,verified,comparison_area,8.75,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,38165.2,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00016,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,42061.8,verified,comparison_area,3.32,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,48054.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00017,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,17941.4,verified,dahej_fringe,3.15,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,20251.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00018,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,30328.8,verified,comparison_area,2.87,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,37045.2,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
