latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.68343,72.5611,306.98,0.47,0.64,2023-06-16,2005,N,VIIRS,n,2,280.89,2.27,N,0
21.68385,72.55638,333.96,0.47,0.64,2023-06-16,2005,N,VIIRS,n,2,281.55,4.59,N,0
21.68592,72.53281,310.09,0.48,0.64,2023-06-16,2005,N,VIIRS,n,2,282.05,1.7,N,0
21.68943,72.56172,301.35,0.47,0.64,2023-06-16,2005,N,VIIRS,n,2,281.27,2.27,N,0
21.68984,72.55701,320.93,0.47,0.64,2023-06-16,2005,N,VIIRS,n,2,281.33,4.59,N,0
21.69433,72.60536,347.88,0.5,0.41,2023-06-18,839,N,VIIRS,n,2,293.51,23.53,D,0
21.69467,72.60737,346.49,0.5,0.41,2023-06-18,839,N,VIIRS,n,2,293.44,20.69,D,0
21.77083,72.87846,330.57,0.52,0.42,2023-06-18,839,N,VIIRS,n,2,294.06,2.77,D,0
21.68937,72.61054,307.07,0.52,0.42,2023-06-18,2107,N,VIIRS,n,2,285.26,2.68,N,0
21.69029,72.60557,317.25,0.52,0.41,2023-06-18,2107,N,VIIRS,n,2,285.57,2.16,N,0
21.69121,72.60058,306.17,0.52,0.41,2023-06-18,2107,N,VIIRS,n,2,283.62,2.16,N,0
21.69316,72.61135,309.57,0.52,0.42,2023-06-18,2107,N,VIIRS,n,2,283.41,1.7,N,0
21.69408,72.60637,340.66,0.52,0.41,2023-06-18,2107,N,VIIRS,n,2,285.55,7.95,N,0
21.695,72.60138,315.05,0.52,0.41,2023-06-18,2107,N,VIIRS,n,2,282.75,7.95,N,0
21.69695,72.61217,303.56,0.52,0.42,2023-06-18,2107,N,VIIRS,n,2,284.91,1.7,N,0
21.69787,72.60717,311.55,0.52,0.41,2023-06-18,2107,N,VIIRS,n,2,283.54,7.95,N,0
21.69879,72.60218,307.61,0.52,0.41,2023-06-18,2107,N,VIIRS,n,2,284.13,7.95,N,0
21.68679,72.56059,339.77,0.38,0.36,2023-06-19,2049,N,VIIRS,n,2,284.67,5.09,N,0
21.69261,72.60651,312.5,0.38,0.36,2023-06-19,2049,N,VIIRS,n,2,286.96,3.02,N,0
21.69318,72.60281,331.58,0.38,0.36,2023-06-19,2049,N,VIIRS,n,2,287.64,3.02,N,0
